pattern,abstract.pattern,back.rating,front.rating,back.total,front.total,prop_back,front.form,back.form
e:,N,0.103009259,0.935185185,4,140,0.027777778,e: Sf,e: Sb
B e:,B e:,0.531385281,0.572510823,74,80,0.480519481,B e: Sf,B e: Sb
B e: e:,B N e:,0.257575758,0.742424242,1,10,0.090909091,B e: e: Sf,B e: e: Sb
B e: e,B N e,0.113333333,0.913333333,1,24,0.04,B e: e Sf,B e: e Sb
B e: I,B e: I,0.271929825,0.859649123,2,17,0.105263158,B e: I Sf,B e: I Sb
B B e:,B B e:,0.4625,0.65,29,51,0.3625,B B e: Sf,B B e: Sb
B B e,B B e,0.285416667,0.780208333,29,131,0.18125,B B e Sf,B B e Sb
B B I,B B I,0.624610592,0.471962617,63,44,0.588785047,B B I Sf,B B I Sb
B e,B e,0.31861013,0.768551237,65,218,0.229681979,B e Sf,B e Sb
B e e:,B N e:,0.232142857,0.81547619,4,24,0.142857143,B e e: Sf,B e e: Sb
B e e,B N e,0.203389831,0.878531073,4,55,0.06779661,B e e Sf,B e e Sb
B e I,B N I,0.265765766,0.792792793,6,31,0.162162162,B e I Sf,B e I Sb
B I,B I,0.697802198,0.408424908,132,50,0.725274725,B I Sf,B I Sb
B I e:,B N e:,0.198412698,0.841269841,2,19,0.095238095,B I e: Sf,B I e: Sb
B I e,B N e,0.185185185,0.907407407,2,25,0.074074074,B I e Sf,B I e Sb
B I I,B N I,0.48245614,0.649122807,7,12,0.368421053,B I I Sf,B I I Sb
e,N,0.087227414,0.935358255,3,211,0.014018692,e Sf,e Sb
I,N,0.156641604,0.906015038,7,126,0.052631579,I Sf,I Sb
